prefix, file, date, name, hoster, city
msu, 2008, 7 декабря 2008, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2009, 6 декабря 2009, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2010, 12 декабря 2010, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2011, 10 декабря 2011, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2012, 21 декабря 2012, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2013, 20 декабря 2013, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2014, 10 декабря 2014, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2015, 19 декабря 2015, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2016, 10 декабря 2016, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2017, 19 декабря 2017, Открытая студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2014-train, 15 марта 2014, Тренировочная студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана
msu, 2018-train, 13 марта 2018, Тренировочная студенческая олимпиада по математике \\ Казахстанского филиала МГУ, Казахстанский филиал МГУ имени М. В. Ломоносова, г. Астана

